Price,Bedroom,Living_area,Swimming_pool,Garden,Garden_area,Surface_of_land,Terrace,Facade,Open Fire,Furnished,province_Antwerp,province_Brussels,province_East_Flanders,province_Flemish_Brabant,province_Hainaut,province_Liege,province_Limburgh,province_Luxemburg,province_Namur,province_Walloon_Brabant,province_West_Flanders,District_Aalst,District_Antwerp,District_Arlon,District_Ath,District_Bastogne,District_Brugge,District_Brussels,District_Charleroi,District_Dendermonde,District_Diksmuide,District_Dinant,District_Eeklo,District_Gent,District_Halle-Vilvoorde,District_Hasselt,District_Huy,District_Ieper,District_Kortrijk,District_Leuven,District_Liège,District_Maaseik,District_Marche-en-Famenne,District_Mechelen,District_Mons,District_Mouscron,District_Namur,District_Neufchâteau,District_Nivelles,District_Oostend,District_Oudenaarde,District_Philippeville,District_Roeselare,District_Sint-Niklaas,District_Soignies,District_Thuin,District_Tielt,District_Tongeren,District_Tournai,District_Turnhout,District_Verviers,District_Veurne,District_Virton,District_Waremme
299000.0,2.0,105.0,0,0,0.0,0.0,1,3.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
205114.0,2.0,120.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250000.0,2.0,108.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
239000.0,3.0,110.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220000.0,1.0,65.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119000.0,0.0,37.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
375000.0,3.0,214.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
279000.0,3.0,175.0,0,0,0.0,0.0,1,2.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
395000.0,3.0,101.0,0,0,0.0,0.0,1,3.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309000.0,3.0,117.0,0,0,0.0,0.0,1,2.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209000.0,1.0,84.0,0,0,0.0,0.0,1,2.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209000.0,1.0,84.0,0,0,0.0,0.0,1,2.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189000.0,1.0,72.0,0,0,0.0,0.0,1,2.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189000.0,1.0,71.0,0,0,0.0,0.0,1,2.0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199000.0,2.0,90.0,0,0,0.0,0.0,1,2.0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
